project_uuid,workspace_uuid,created_at,updated_at,name,full_address,address_1,address_2,city,state,postal_code,country,lat,lng,investment_strategy,stage,type,style,square_feet,beds,baths,year_built,featured_image_url,permissions_json
3ede3a2c-0c25-4ccd-84f6-37dca2571c22,fcc296b5-fe8b-4b7a-9b32-d436b75f9490,2026-04-28T16:45:42Z,2026-05-21T14:46:04Z,440 Woodland Court Northeast,"440 Woodland Court Northeast, Center Point, AL 35215",440 Woodland Court Northeast,,Center Point,AL,35215,US,33.6434603,-86.6712115,fix_and_flip,under_construction,Single Family Residence,,1182,3,2,1971,https://tools.flipperforce.com/uploads/projects/114633/streetview-400x400.jpg,"[""team_notifications"", ""analysis_dashboard"", ""estimating_dashboard"", ""accounting_dashboard"", ""leads_dashboard"", ""active_projects_dashboard"", ""portfolio_dashboard"", ""project_notes"", ""project_comps"", ""flip_analyzer"", ""rental_analyzer"", ""repair_estimator"", ""deal_analysis_reports"", ""task_manager"", ""project_scheduler"", ""project_calendar"", ""project_budgeter"", ""expense_tracker"", ""income_tracker"", ""receipts"", ""accounting_reports"", ""contacts_vendors"", ""document_manager"", ""photo_log"", ""add_project"", ""delete_project"", ""material_catalog"", ""project_progress_updates"", ""activity_log"", ""receipts_inbox""]"
35d87514-df2e-4ad8-8827-bc758f4ef859,fcc296b5-fe8b-4b7a-9b32-d436b75f9490,2026-04-10T12:02:14Z,2026-05-21T14:45:23Z,2521 Arcadia Place,"2521 Arcadia Place, Birmingham, AL 35214",2521 Arcadia Place,,Birmingham,AL,35214,US,33.5873478,-86.9086538,fix_and_flip,under_construction,Single Family Residence,,1370,3,2,1971,https://tools.flipperforce.com/uploads/projects/113651/streetview-400x400.jpg,"[""team_notifications"", ""analysis_dashboard"", ""estimating_dashboard"", ""accounting_dashboard"", ""leads_dashboard"", ""active_projects_dashboard"", ""portfolio_dashboard"", ""project_notes"", ""project_comps"", ""flip_analyzer"", ""rental_analyzer"", ""repair_estimator"", ""deal_analysis_reports"", ""task_manager"", ""project_scheduler"", ""project_calendar"", ""project_budgeter"", ""expense_tracker"", ""income_tracker"", ""receipts"", ""accounting_reports"", ""contacts_vendors"", ""document_manager"", ""photo_log"", ""add_project"", ""delete_project"", ""material_catalog"", ""project_progress_updates"", ""activity_log"", ""receipts_inbox""]"
b6ec211b-e780-4bf2-a086-46a75f8a8e74,fcc296b5-fe8b-4b7a-9b32-d436b75f9490,2026-05-21T14:21:25Z,2026-05-21T14:21:27Z,700 Chase Brook Circle,"700 Chase Brook Circle, Birmingham, AL 35244",700 Chase Brook Circle,,Birmingham,AL,35244,US,33.3421194,-86.8184027,fix_and_flip,appointment_set,Single Family Residence,,3815,,3,1988,https://tools.flipperforce.com/uploads/projects/116082/streetview-400x400.jpg,"[""team_notifications"", ""analysis_dashboard"", ""estimating_dashboard"", ""accounting_dashboard"", ""leads_dashboard"", ""active_projects_dashboard"", ""portfolio_dashboard"", ""project_notes"", ""project_comps"", ""flip_analyzer"", ""rental_analyzer"", ""repair_estimator"", ""deal_analysis_reports"", ""task_manager"", ""project_scheduler"", ""project_calendar"", ""project_budgeter"", ""expense_tracker"", ""income_tracker"", ""receipts"", ""accounting_reports"", ""contacts_vendors"", ""document_manager"", ""photo_log"", ""add_project"", ""delete_project"", ""material_catalog"", ""project_progress_updates"", ""activity_log"", ""receipts_inbox""]"
e4555221-06cf-4140-b7f3-dade8f132060,fcc296b5-fe8b-4b7a-9b32-d436b75f9490,2026-03-17T20:41:18Z,2026-05-15T20:09:53Z,2701 Eastern Valley Road,"2701 Eastern Valley Road, Leeds, AL 35094",2701 Eastern Valley Road,,Leeds,AL,35094,US,33.496833,-86.606408,fix_and_flip,under_construction,Single Family Residence,,2835,3,1,1925,https://tools.flipperforce.com/uploads/projects/112374/streetview-400x400.jpg,"[""team_notifications"", ""analysis_dashboard"", ""estimating_dashboard"", ""accounting_dashboard"", ""leads_dashboard"", ""active_projects_dashboard"", ""portfolio_dashboard"", ""project_notes"", ""project_comps"", ""flip_analyzer"", ""rental_analyzer"", ""repair_estimator"", ""deal_analysis_reports"", ""task_manager"", ""project_scheduler"", ""project_calendar"", ""project_budgeter"", ""expense_tracker"", ""income_tracker"", ""receipts"", ""accounting_reports"", ""contacts_vendors"", ""document_manager"", ""photo_log"", ""add_project"", ""delete_project"", ""material_catalog"", ""project_progress_updates"", ""activity_log"", ""receipts_inbox""]"
452422a6-c872-4052-91f2-227da0583a03,fcc296b5-fe8b-4b7a-9b32-d436b75f9490,2026-04-28T15:00:09Z,2026-05-15T20:01:55Z,578 Shades Crest Road,"578 Shades Crest Road, Hoover, AL 35226",578 Shades Crest Road,,Hoover,AL,35226,US,33.4106164,-86.8577347,fix_and_flip,under_construction,Single Family Residence,,2064,5,4,1978,https://tools.flipperforce.com/uploads/projects/114613/streetview-400x400.jpg,"[""team_notifications"", ""analysis_dashboard"", ""estimating_dashboard"", ""accounting_dashboard"", ""leads_dashboard"", ""active_projects_dashboard"", ""portfolio_dashboard"", ""project_notes"", ""project_comps"", ""flip_analyzer"", ""rental_analyzer"", ""repair_estimator"", ""deal_analysis_reports"", ""task_manager"", ""project_scheduler"", ""project_calendar"", ""project_budgeter"", ""expense_tracker"", ""income_tracker"", ""receipts"", ""accounting_reports"", ""contacts_vendors"", ""document_manager"", ""photo_log"", ""add_project"", ""delete_project"", ""material_catalog"", ""project_progress_updates"", ""activity_log"", ""receipts_inbox""]"
1df685fc-17ab-4eba-9c6f-b91ba65a0783,fcc296b5-fe8b-4b7a-9b32-d436b75f9490,2026-03-12T17:45:06Z,2026-05-15T14:38:57Z,828 Jeffery Lane,"828 Jeffery Lane, Birmingham, AL 35235",828 Jeffery Lane,,Birmingham,AL,35235,US,33.5962864,-86.6771264,fix_and_flip,under_construction,Single Family Residence,,1896,3,2,1963,https://tools.flipperforce.com/uploads/projects/112076/streetview-400x400.jpg,"[""team_notifications"", ""analysis_dashboard"", ""estimating_dashboard"", ""accounting_dashboard"", ""leads_dashboard"", ""active_projects_dashboard"", ""portfolio_dashboard"", ""project_notes"", ""project_comps"", ""flip_analyzer"", ""rental_analyzer"", ""repair_estimator"", ""deal_analysis_reports"", ""task_manager"", ""project_scheduler"", ""project_calendar"", ""project_budgeter"", ""expense_tracker"", ""income_tracker"", ""receipts"", ""accounting_reports"", ""contacts_vendors"", ""document_manager"", ""photo_log"", ""add_project"", ""delete_project"", ""material_catalog"", ""project_progress_updates"", ""activity_log"", ""receipts_inbox""]"
da07daab-8d0e-40ad-b059-ac163f36d468,fcc296b5-fe8b-4b7a-9b32-d436b75f9490,2026-04-15T14:21:37Z,2026-05-15T13:40:23Z,5364 Balboa Avenue,"5364 Balboa Avenue, Pinson, AL 35126",5364 Balboa Avenue,,Pinson,AL,35126,US,33.6643215,-86.6427201,fix_and_flip,under_construction,Single Family Residence,,1170,3,,1976,https://tools.flipperforce.com/uploads/projects/113902/streetview-400x400.jpg,"[""team_notifications"", ""analysis_dashboard"", ""estimating_dashboard"", ""accounting_dashboard"", ""leads_dashboard"", ""active_projects_dashboard"", ""portfolio_dashboard"", ""project_notes"", ""project_comps"", ""flip_analyzer"", ""rental_analyzer"", ""repair_estimator"", ""deal_analysis_reports"", ""task_manager"", ""project_scheduler"", ""project_calendar"", ""project_budgeter"", ""expense_tracker"", ""income_tracker"", ""receipts"", ""accounting_reports"", ""contacts_vendors"", ""document_manager"", ""photo_log"", ""add_project"", ""delete_project"", ""material_catalog"", ""project_progress_updates"", ""activity_log"", ""receipts_inbox""]"
660a1a94-2867-48e7-9c5f-4db540c7104a,fcc296b5-fe8b-4b7a-9b32-d436b75f9490,2026-03-17T20:42:09Z,2026-05-15T13:38:04Z,6279 Tyler Loop Road,"6279 Tyler Loop Road, Pinson, AL 35126",6279 Tyler Loop Road,,Pinson,AL,35126,US,33.6797459,-86.6590765,fix_and_flip,under_construction,Single Family Residence,,1336,3,2,1974,https://tools.flipperforce.com/uploads/projects/112375/streetview-400x400.jpg,"[""team_notifications"", ""analysis_dashboard"", ""estimating_dashboard"", ""accounting_dashboard"", ""leads_dashboard"", ""active_projects_dashboard"", ""portfolio_dashboard"", ""project_notes"", ""project_comps"", ""flip_analyzer"", ""rental_analyzer"", ""repair_estimator"", ""deal_analysis_reports"", ""task_manager"", ""project_scheduler"", ""project_calendar"", ""project_budgeter"", ""expense_tracker"", ""income_tracker"", ""receipts"", ""accounting_reports"", ""contacts_vendors"", ""document_manager"", ""photo_log"", ""add_project"", ""delete_project"", ""material_catalog"", ""project_progress_updates"", ""activity_log"", ""receipts_inbox""]"
e97a92f4-8a67-4b2c-9667-a95505643b89,fcc296b5-fe8b-4b7a-9b32-d436b75f9490,2025-12-10T23:38:01Z,2026-05-15T13:29:01Z,193 Rena Drive,"193 Rena Drive, Springville, AL 35146",193 Rena Drive,,Springville,AL,35146,US,33.7823802,-86.4793075,fix_and_flip,under_construction,,,,,,,https://tools.flipperforce.com/uploads/projects/107100/streetview-400x400.jpg,"[""team_notifications"", ""analysis_dashboard"", ""estimating_dashboard"", ""accounting_dashboard"", ""leads_dashboard"", ""active_projects_dashboard"", ""portfolio_dashboard"", ""project_notes"", ""project_comps"", ""flip_analyzer"", ""rental_analyzer"", ""repair_estimator"", ""deal_analysis_reports"", ""task_manager"", ""project_scheduler"", ""project_calendar"", ""project_budgeter"", ""expense_tracker"", ""income_tracker"", ""receipts"", ""accounting_reports"", ""contacts_vendors"", ""document_manager"", ""photo_log"", ""add_project"", ""delete_project"", ""material_catalog"", ""project_progress_updates"", ""activity_log"", ""receipts_inbox""]"
cac34cd4-906c-49fa-aa39-41bdb0174269,fcc296b5-fe8b-4b7a-9b32-d436b75f9490,2026-04-28T14:57:29Z,2026-05-15T13:16:49Z,7624 Happy Hollow Road,"7624 Happy Hollow Road, Trussville, AL 35173",7624 Happy Hollow Road,,Trussville,AL,35173,US,33.6600793,-86.5653747,fix_and_flip,under_construction,Single Family Residence,,1395,3,3,1970,https://tools.flipperforce.com/uploads/projects/114612/streetview-400x400.jpg,"[""team_notifications"", ""analysis_dashboard"", ""estimating_dashboard"", ""accounting_dashboard"", ""leads_dashboard"", ""active_projects_dashboard"", ""portfolio_dashboard"", ""project_notes"", ""project_comps"", ""flip_analyzer"", ""rental_analyzer"", ""repair_estimator"", ""deal_analysis_reports"", ""task_manager"", ""project_scheduler"", ""project_calendar"", ""project_budgeter"", ""expense_tracker"", ""income_tracker"", ""receipts"", ""accounting_reports"", ""contacts_vendors"", ""document_manager"", ""photo_log"", ""add_project"", ""delete_project"", ""material_catalog"", ""project_progress_updates"", ""activity_log"", ""receipts_inbox""]"
