project_uuid,workspace_uuid,created_at,updated_at,name,full_address,address_1,address_2,city,state,postal_code,country,lat,lng,investment_strategy,stage,type,style,square_feet,beds,baths,year_built,featured_image_url,permissions_json
1df685fc-17ab-4eba-9c6f-b91ba65a0783,fcc296b5-fe8b-4b7a-9b32-d436b75f9490,2026-03-12T17:45:06Z,2026-06-12T20:57:59Z,828 Jeffery Lane,"828 Jeffery Lane, Birmingham, AL 35235",828 Jeffery Lane,,Birmingham,AL,35235,US,33.5962864,-86.6771264,fix_and_flip,under_construction,Single Family Residence,,1896,3,2,1963,https://tools.flipperforce.com/uploads/projects/112076/streetview-400x400.jpg,"[""team_notifications"", ""analysis_dashboard"", ""estimating_dashboard"", ""accounting_dashboard"", ""leads_dashboard"", ""active_projects_dashboard"", ""portfolio_dashboard"", ""project_notes"", ""project_comps"", ""flip_analyzer"", ""rental_analyzer"", ""repair_estimator"", ""deal_analysis_reports"", ""task_manager"", ""project_scheduler"", ""project_calendar"", ""project_budgeter"", ""expense_tracker"", ""income_tracker"", ""receipts"", ""accounting_reports"", ""contacts_vendors"", ""document_manager"", ""photo_log"", ""add_project"", ""delete_project"", ""material_catalog"", ""project_progress_updates"", ""activity_log"", ""receipts_inbox""]"
508faf72-6edd-4d84-aba8-4376c76a30c1,fcc296b5-fe8b-4b7a-9b32-d436b75f9490,2026-06-11T15:26:48Z,2026-06-12T20:26:31Z,1729 Monteagle Drive,"1729 Monteagle Drive, Birmingham, AL 35244",1729 Monteagle Drive,,Birmingham,AL,35244,US,33.3224408,-86.8866539,fix_and_flip,offer_made,Single Family Residence,,3425,,3,1989,https://tools.flipperforce.com/uploads/projects/117259/streetview-400x400.jpg,"[""team_notifications"", ""analysis_dashboard"", ""estimating_dashboard"", ""accounting_dashboard"", ""leads_dashboard"", ""active_projects_dashboard"", ""portfolio_dashboard"", ""project_notes"", ""project_comps"", ""flip_analyzer"", ""rental_analyzer"", ""repair_estimator"", ""deal_analysis_reports"", ""task_manager"", ""project_scheduler"", ""project_calendar"", ""project_budgeter"", ""expense_tracker"", ""income_tracker"", ""receipts"", ""accounting_reports"", ""contacts_vendors"", ""document_manager"", ""photo_log"", ""add_project"", ""delete_project"", ""material_catalog"", ""project_progress_updates"", ""activity_log"", ""receipts_inbox""]"
3ede3a2c-0c25-4ccd-84f6-37dca2571c22,fcc296b5-fe8b-4b7a-9b32-d436b75f9490,2026-04-28T16:45:42Z,2026-06-12T20:13:25Z,440 Woodland Court Northeast,"440 Woodland Court Northeast, Center Point, AL 35215",440 Woodland Court Northeast,,Center Point,AL,35215,US,33.6434603,-86.6712115,fix_and_flip,under_construction,Single Family Residence,,1182,3,2,1971,https://tools.flipperforce.com/uploads/projects/114633/streetview-400x400.jpg,"[""team_notifications"", ""analysis_dashboard"", ""estimating_dashboard"", ""accounting_dashboard"", ""leads_dashboard"", ""active_projects_dashboard"", ""portfolio_dashboard"", ""project_notes"", ""project_comps"", ""flip_analyzer"", ""rental_analyzer"", ""repair_estimator"", ""deal_analysis_reports"", ""task_manager"", ""project_scheduler"", ""project_calendar"", ""project_budgeter"", ""expense_tracker"", ""income_tracker"", ""receipts"", ""accounting_reports"", ""contacts_vendors"", ""document_manager"", ""photo_log"", ""add_project"", ""delete_project"", ""material_catalog"", ""project_progress_updates"", ""activity_log"", ""receipts_inbox""]"
4c9a46a6-7212-41a0-90f5-b62785474364,fcc296b5-fe8b-4b7a-9b32-d436b75f9490,2026-04-28T14:55:23Z,2026-06-12T19:24:39Z,3215 Fortner Lane,"3215 Fortner Lane, Moody, AL 35004",3215 Fortner Lane,,Moody,AL,35004,US,33.5926241,-86.4896635,fix_and_flip,negotiation,Single Family Residence,,1375,,1,1971,https://tools.flipperforce.com/uploads/projects/114610/streetview-400x400.jpg,"[""team_notifications"", ""analysis_dashboard"", ""estimating_dashboard"", ""accounting_dashboard"", ""leads_dashboard"", ""active_projects_dashboard"", ""portfolio_dashboard"", ""project_notes"", ""project_comps"", ""flip_analyzer"", ""rental_analyzer"", ""repair_estimator"", ""deal_analysis_reports"", ""task_manager"", ""project_scheduler"", ""project_calendar"", ""project_budgeter"", ""expense_tracker"", ""income_tracker"", ""receipts"", ""accounting_reports"", ""contacts_vendors"", ""document_manager"", ""photo_log"", ""add_project"", ""delete_project"", ""material_catalog"", ""project_progress_updates"", ""activity_log"", ""receipts_inbox""]"
bd4d44a9-d742-405e-ae4a-e69c65754b5b,fcc296b5-fe8b-4b7a-9b32-d436b75f9490,2026-03-20T17:46:12Z,2026-06-12T14:32:58Z,2513 7th Street Northeast,"2513 7th Street Northeast, Center Point, AL 35215",2513 7th Street Northeast,,Center Point,AL,35215,US,33.6511404,-86.6698102,fix_and_flip,under_construction,Single Family Residence,,1150,3,1,1958,https://tools.flipperforce.com/uploads/projects/112536/streetview-400x400.jpg,"[""team_notifications"", ""analysis_dashboard"", ""estimating_dashboard"", ""accounting_dashboard"", ""leads_dashboard"", ""active_projects_dashboard"", ""portfolio_dashboard"", ""project_notes"", ""project_comps"", ""flip_analyzer"", ""rental_analyzer"", ""repair_estimator"", ""deal_analysis_reports"", ""task_manager"", ""project_scheduler"", ""project_calendar"", ""project_budgeter"", ""expense_tracker"", ""income_tracker"", ""receipts"", ""accounting_reports"", ""contacts_vendors"", ""document_manager"", ""photo_log"", ""add_project"", ""delete_project"", ""material_catalog"", ""project_progress_updates"", ""activity_log"", ""receipts_inbox""]"
85fd6677-7cea-424f-b056-30745971d96d,fcc296b5-fe8b-4b7a-9b32-d436b75f9490,2026-02-05T20:20:16Z,2026-06-12T14:31:30Z,2308 Kala Street,"2308 Kala Street, Helena, AL 35080",2308 Kala Street,,Helena,AL,35080,US,33.2720034,-86.8487935,fix_and_flip,under_construction,Single Family Residence,,1450,,2,1976,https://tools.flipperforce.com/uploads/projects/110084/streetview-400x400.jpg,"[""team_notifications"", ""analysis_dashboard"", ""estimating_dashboard"", ""accounting_dashboard"", ""leads_dashboard"", ""active_projects_dashboard"", ""portfolio_dashboard"", ""project_notes"", ""project_comps"", ""flip_analyzer"", ""rental_analyzer"", ""repair_estimator"", ""deal_analysis_reports"", ""task_manager"", ""project_scheduler"", ""project_calendar"", ""project_budgeter"", ""expense_tracker"", ""income_tracker"", ""receipts"", ""accounting_reports"", ""contacts_vendors"", ""document_manager"", ""photo_log"", ""add_project"", ""delete_project"", ""material_catalog"", ""project_progress_updates"", ""activity_log"", ""receipts_inbox""]"
e4555221-06cf-4140-b7f3-dade8f132060,fcc296b5-fe8b-4b7a-9b32-d436b75f9490,2026-03-17T20:41:18Z,2026-06-12T14:28:56Z,2701 Eastern Valley Road,"2701 Eastern Valley Road, Leeds, AL 35094",2701 Eastern Valley Road,,Leeds,AL,35094,US,33.496833,-86.606408,fix_and_flip,under_construction,Single Family Residence,,2835,3,1,1925,https://tools.flipperforce.com/uploads/projects/112374/streetview-400x400.jpg,"[""team_notifications"", ""analysis_dashboard"", ""estimating_dashboard"", ""accounting_dashboard"", ""leads_dashboard"", ""active_projects_dashboard"", ""portfolio_dashboard"", ""project_notes"", ""project_comps"", ""flip_analyzer"", ""rental_analyzer"", ""repair_estimator"", ""deal_analysis_reports"", ""task_manager"", ""project_scheduler"", ""project_calendar"", ""project_budgeter"", ""expense_tracker"", ""income_tracker"", ""receipts"", ""accounting_reports"", ""contacts_vendors"", ""document_manager"", ""photo_log"", ""add_project"", ""delete_project"", ""material_catalog"", ""project_progress_updates"", ""activity_log"", ""receipts_inbox""]"
765720e7-f5f2-447d-9fa2-9aaa16417bdc,fcc296b5-fe8b-4b7a-9b32-d436b75f9490,2026-04-28T14:32:26Z,2026-06-12T13:42:23Z,1017 Burnt Pine Lane,"1017 Burnt Pine Lane, Alabaster, AL 35114",1017 Burnt Pine Lane,,Alabaster,AL,35114,US,33.2259023,-86.8522971,fix_and_flip,under_construction,Single Family Residence,,1415,,2,1978,https://tools.flipperforce.com/uploads/projects/114605/streetview-400x400.jpg,"[""team_notifications"", ""analysis_dashboard"", ""estimating_dashboard"", ""accounting_dashboard"", ""leads_dashboard"", ""active_projects_dashboard"", ""portfolio_dashboard"", ""project_notes"", ""project_comps"", ""flip_analyzer"", ""rental_analyzer"", ""repair_estimator"", ""deal_analysis_reports"", ""task_manager"", ""project_scheduler"", ""project_calendar"", ""project_budgeter"", ""expense_tracker"", ""income_tracker"", ""receipts"", ""accounting_reports"", ""contacts_vendors"", ""document_manager"", ""photo_log"", ""add_project"", ""delete_project"", ""material_catalog"", ""project_progress_updates"", ""activity_log"", ""receipts_inbox""]"
a38a8023-8a63-42ac-a38b-000f8c9e6587,fcc296b5-fe8b-4b7a-9b32-d436b75f9490,2026-04-23T14:57:42Z,2026-06-12T13:41:31Z,533 River Crest Way,"533 River Crest Way, Helena, AL 35080",533 River Crest Way,,Helena,AL,35080,US,33.2724832,-86.8833874,fix_and_flip,punch_list,Single Family Residence,,2780,,3,2010,https://tools.flipperforce.com/uploads/projects/114375/streetview-400x400.jpg,"[""team_notifications"", ""analysis_dashboard"", ""estimating_dashboard"", ""accounting_dashboard"", ""leads_dashboard"", ""active_projects_dashboard"", ""portfolio_dashboard"", ""project_notes"", ""project_comps"", ""flip_analyzer"", ""rental_analyzer"", ""repair_estimator"", ""deal_analysis_reports"", ""task_manager"", ""project_scheduler"", ""project_calendar"", ""project_budgeter"", ""expense_tracker"", ""income_tracker"", ""receipts"", ""accounting_reports"", ""contacts_vendors"", ""document_manager"", ""photo_log"", ""add_project"", ""delete_project"", ""material_catalog"", ""project_progress_updates"", ""activity_log"", ""receipts_inbox""]"
058497a2-f46c-4dc6-835b-20cef610d484,fcc296b5-fe8b-4b7a-9b32-d436b75f9490,2025-08-06T14:33:42Z,2026-06-12T13:23:05Z,1125 Greystone Crest,"1125 Greystone Crest, Birmingham, AL 35242",1125 Greystone Crest,,Birmingham,AL,35242,US,33.4335408,-86.6344367,fix_and_flip,under_construction,Single Family,,5979,6,4,1999,https://tools.flipperforce.com/uploads/projects/99244/streetview-400x400.jpg,"[""team_notifications"", ""analysis_dashboard"", ""estimating_dashboard"", ""accounting_dashboard"", ""leads_dashboard"", ""active_projects_dashboard"", ""portfolio_dashboard"", ""project_notes"", ""project_comps"", ""flip_analyzer"", ""rental_analyzer"", ""repair_estimator"", ""deal_analysis_reports"", ""task_manager"", ""project_scheduler"", ""project_calendar"", ""project_budgeter"", ""expense_tracker"", ""income_tracker"", ""receipts"", ""accounting_reports"", ""contacts_vendors"", ""document_manager"", ""photo_log"", ""add_project"", ""delete_project"", ""material_catalog"", ""project_progress_updates"", ""activity_log"", ""receipts_inbox""]"
e97a92f4-8a67-4b2c-9667-a95505643b89,fcc296b5-fe8b-4b7a-9b32-d436b75f9490,2025-12-10T23:38:01Z,2026-06-12T13:20:23Z,193 Rena Drive,"193 Rena Drive, Springville, AL 35146",193 Rena Drive,,Springville,AL,35146,US,33.7823802,-86.4793075,fix_and_flip,under_construction,,,,,,,https://tools.flipperforce.com/uploads/projects/107100/streetview-400x400.jpg,"[""team_notifications"", ""analysis_dashboard"", ""estimating_dashboard"", ""accounting_dashboard"", ""leads_dashboard"", ""active_projects_dashboard"", ""portfolio_dashboard"", ""project_notes"", ""project_comps"", ""flip_analyzer"", ""rental_analyzer"", ""repair_estimator"", ""deal_analysis_reports"", ""task_manager"", ""project_scheduler"", ""project_calendar"", ""project_budgeter"", ""expense_tracker"", ""income_tracker"", ""receipts"", ""accounting_reports"", ""contacts_vendors"", ""document_manager"", ""photo_log"", ""add_project"", ""delete_project"", ""material_catalog"", ""project_progress_updates"", ""activity_log"", ""receipts_inbox""]"
cac34cd4-906c-49fa-aa39-41bdb0174269,fcc296b5-fe8b-4b7a-9b32-d436b75f9490,2026-04-28T14:57:29Z,2026-06-12T13:18:40Z,7624 Happy Hollow Road,"7624 Happy Hollow Road, Trussville, AL 35173",7624 Happy Hollow Road,,Trussville,AL,35173,US,33.6600793,-86.5653747,fix_and_flip,under_construction,Single Family Residence,,1395,3,3,1970,https://tools.flipperforce.com/uploads/projects/114612/streetview-400x400.jpg,"[""team_notifications"", ""analysis_dashboard"", ""estimating_dashboard"", ""accounting_dashboard"", ""leads_dashboard"", ""active_projects_dashboard"", ""portfolio_dashboard"", ""project_notes"", ""project_comps"", ""flip_analyzer"", ""rental_analyzer"", ""repair_estimator"", ""deal_analysis_reports"", ""task_manager"", ""project_scheduler"", ""project_calendar"", ""project_budgeter"", ""expense_tracker"", ""income_tracker"", ""receipts"", ""accounting_reports"", ""contacts_vendors"", ""document_manager"", ""photo_log"", ""add_project"", ""delete_project"", ""material_catalog"", ""project_progress_updates"", ""activity_log"", ""receipts_inbox""]"
35d87514-df2e-4ad8-8827-bc758f4ef859,fcc296b5-fe8b-4b7a-9b32-d436b75f9490,2026-04-10T12:02:14Z,2026-06-12T13:00:46Z,2521 Arcadia Place,"2521 Arcadia Place, Birmingham, AL 35214",2521 Arcadia Place,,Birmingham,AL,35214,US,33.5873478,-86.9086538,fix_and_flip,under_construction,Single Family Residence,,1370,3,2,1971,https://tools.flipperforce.com/uploads/projects/113651/streetview-400x400.jpg,"[""team_notifications"", ""analysis_dashboard"", ""estimating_dashboard"", ""accounting_dashboard"", ""leads_dashboard"", ""active_projects_dashboard"", ""portfolio_dashboard"", ""project_notes"", ""project_comps"", ""flip_analyzer"", ""rental_analyzer"", ""repair_estimator"", ""deal_analysis_reports"", ""task_manager"", ""project_scheduler"", ""project_calendar"", ""project_budgeter"", ""expense_tracker"", ""income_tracker"", ""receipts"", ""accounting_reports"", ""contacts_vendors"", ""document_manager"", ""photo_log"", ""add_project"", ""delete_project"", ""material_catalog"", ""project_progress_updates"", ""activity_log"", ""receipts_inbox""]"
926fb82d-2f16-49a6-b21f-86c9a4ef08f4,fcc296b5-fe8b-4b7a-9b32-d436b75f9490,2026-04-10T17:28:39Z,2026-06-12T12:58:35Z,1688 Brewster Road,"1688 Brewster Road, Birmingham, AL 35235",1688 Brewster Road,,Birmingham,AL,35235,US,33.6267178,-86.6541428,fix_and_flip,under_construction,Single Family Residence,,1148,2,2,1980,https://tools.flipperforce.com/uploads/projects/113671/streetview-400x400.jpg,"[""team_notifications"", ""analysis_dashboard"", ""estimating_dashboard"", ""accounting_dashboard"", ""leads_dashboard"", ""active_projects_dashboard"", ""portfolio_dashboard"", ""project_notes"", ""project_comps"", ""flip_analyzer"", ""rental_analyzer"", ""repair_estimator"", ""deal_analysis_reports"", ""task_manager"", ""project_scheduler"", ""project_calendar"", ""project_budgeter"", ""expense_tracker"", ""income_tracker"", ""receipts"", ""accounting_reports"", ""contacts_vendors"", ""document_manager"", ""photo_log"", ""add_project"", ""delete_project"", ""material_catalog"", ""project_progress_updates"", ""activity_log"", ""receipts_inbox""]"
