project_uuid,workspace_uuid,created_at,updated_at,name,full_address,address_1,address_2,city,state,postal_code,country,lat,lng,investment_strategy,stage,type,style,square_feet,beds,baths,year_built,featured_image_url,permissions_json
6e8086a1-e590-4320-a7e6-af2ffaf4c1a0,fcc296b5-fe8b-4b7a-9b32-d436b75f9490,2026-01-28T16:30:55Z,2026-03-06T22:05:32Z,505 Sunhill Road Northwest,"505 Sunhill Road Northwest, Center Point, AL 35215",505 Sunhill Road Northwest,,Center Point,AL,35215,US,33.653389,-86.6966471,fix_and_flip,under_construction,Single Family Residence,,2178,3,1,1955,https://tools.flipperforce.com/uploads/projects/109538/streetview-400x400.jpg,"[""team_notifications"", ""analysis_dashboard"", ""estimating_dashboard"", ""accounting_dashboard"", ""leads_dashboard"", ""active_projects_dashboard"", ""portfolio_dashboard"", ""project_notes"", ""project_comps"", ""flip_analyzer"", ""rental_analyzer"", ""repair_estimator"", ""deal_analysis_reports"", ""task_manager"", ""project_scheduler"", ""project_calendar"", ""project_budgeter"", ""expense_tracker"", ""income_tracker"", ""receipts"", ""accounting_reports"", ""contacts_vendors"", ""document_manager"", ""photo_log"", ""add_project"", ""delete_project"", ""material_catalog"", ""project_progress_updates"", ""activity_log"", ""receipts_inbox""]"
9cb8369d-bf9c-4e42-a36f-05acd9de194c,fcc296b5-fe8b-4b7a-9b32-d436b75f9490,2026-02-06T17:23:11Z,2026-03-06T22:01:49Z,112 White Cap Circle,"112 White Cap Circle, Alabaster, AL 35007",112 White Cap Circle,,Alabaster,AL,35007,US,33.2628784,-86.8279001,fix_and_flip,planning_permitting,Single Family Residence,,2136,3,3,1976,https://tools.flipperforce.com/uploads/projects/110122/streetview-400x400.jpg,"[""team_notifications"", ""analysis_dashboard"", ""estimating_dashboard"", ""accounting_dashboard"", ""leads_dashboard"", ""active_projects_dashboard"", ""portfolio_dashboard"", ""project_notes"", ""project_comps"", ""flip_analyzer"", ""rental_analyzer"", ""repair_estimator"", ""deal_analysis_reports"", ""task_manager"", ""project_scheduler"", ""project_calendar"", ""project_budgeter"", ""expense_tracker"", ""income_tracker"", ""receipts"", ""accounting_reports"", ""contacts_vendors"", ""document_manager"", ""photo_log"", ""add_project"", ""delete_project"", ""material_catalog"", ""project_progress_updates"", ""activity_log"", ""receipts_inbox""]"
23719392-bb88-4166-8212-eb41dc4bb335,fcc296b5-fe8b-4b7a-9b32-d436b75f9490,2026-01-13T22:30:27Z,2026-03-06T22:00:10Z,316 Willow Glen Court,"316 Willow Glen Court, Alabaster, AL 35007",316 Willow Glen Court,,Alabaster,AL,35007,US,33.1963895,-86.8384616,fix_and_flip,under_construction,Single Family Residence,,1590,3,2,1984,https://tools.flipperforce.com/uploads/projects/108735/streetview-400x400.jpg,"[""team_notifications"", ""analysis_dashboard"", ""estimating_dashboard"", ""accounting_dashboard"", ""leads_dashboard"", ""active_projects_dashboard"", ""portfolio_dashboard"", ""project_notes"", ""project_comps"", ""flip_analyzer"", ""rental_analyzer"", ""repair_estimator"", ""deal_analysis_reports"", ""task_manager"", ""project_scheduler"", ""project_calendar"", ""project_budgeter"", ""expense_tracker"", ""income_tracker"", ""receipts"", ""accounting_reports"", ""contacts_vendors"", ""document_manager"", ""photo_log"", ""add_project"", ""delete_project"", ""material_catalog"", ""project_progress_updates"", ""activity_log"", ""receipts_inbox""]"
dad13c43-c304-4e2c-997a-a4619fe92757,fcc296b5-fe8b-4b7a-9b32-d436b75f9490,2025-06-13T21:23:58Z,2026-03-06T21:41:02Z,1792 Whitmire Street,"1792 Whitmire Street, Leeds, AL 35094",1792 Whitmire Street,,Leeds,AL,35094,US,33.5485812,-86.5374355,new_construction,under_construction,,,,,,,https://tools.flipperforce.com/uploads/projects/96533/streetview-400x400.jpg,"[""team_notifications"", ""analysis_dashboard"", ""estimating_dashboard"", ""accounting_dashboard"", ""leads_dashboard"", ""active_projects_dashboard"", ""portfolio_dashboard"", ""project_notes"", ""project_comps"", ""flip_analyzer"", ""rental_analyzer"", ""repair_estimator"", ""deal_analysis_reports"", ""task_manager"", ""project_scheduler"", ""project_calendar"", ""project_budgeter"", ""expense_tracker"", ""income_tracker"", ""receipts"", ""accounting_reports"", ""contacts_vendors"", ""document_manager"", ""photo_log"", ""add_project"", ""delete_project"", ""material_catalog"", ""project_progress_updates"", ""activity_log"", ""receipts_inbox""]"
85fd6677-7cea-424f-b056-30745971d96d,fcc296b5-fe8b-4b7a-9b32-d436b75f9490,2026-02-05T20:20:16Z,2026-03-06T21:38:13Z,2308 Kala Street,"2308 Kala Street, Helena, AL 35080",2308 Kala Street,,Helena,AL,35080,US,33.2720034,-86.8487935,fix_and_flip,under_construction,Single Family Residence,,1450,,2,1976,https://tools.flipperforce.com/uploads/projects/110084/streetview-400x400.jpg,"[""team_notifications"", ""analysis_dashboard"", ""estimating_dashboard"", ""accounting_dashboard"", ""leads_dashboard"", ""active_projects_dashboard"", ""portfolio_dashboard"", ""project_notes"", ""project_comps"", ""flip_analyzer"", ""rental_analyzer"", ""repair_estimator"", ""deal_analysis_reports"", ""task_manager"", ""project_scheduler"", ""project_calendar"", ""project_budgeter"", ""expense_tracker"", ""income_tracker"", ""receipts"", ""accounting_reports"", ""contacts_vendors"", ""document_manager"", ""photo_log"", ""add_project"", ""delete_project"", ""material_catalog"", ""project_progress_updates"", ""activity_log"", ""receipts_inbox""]"
46f6e042-fc44-4fe5-b0b0-b4c46bb57888,fcc296b5-fe8b-4b7a-9b32-d436b75f9490,2026-01-26T16:53:48Z,2026-03-06T21:37:55Z,308 Killough Drive,"308 Killough Drive, Birmingham, AL 35215",308 Killough Drive,,Birmingham,AL,35215,US,33.6136594,-86.7057029,fix_and_flip,planning_permitting,Single Family Residence,,1392,3,2,1960,https://tools.flipperforce.com/uploads/projects/109424/streetview-400x400.jpg,"[""team_notifications"", ""analysis_dashboard"", ""estimating_dashboard"", ""accounting_dashboard"", ""leads_dashboard"", ""active_projects_dashboard"", ""portfolio_dashboard"", ""project_notes"", ""project_comps"", ""flip_analyzer"", ""rental_analyzer"", ""repair_estimator"", ""deal_analysis_reports"", ""task_manager"", ""project_scheduler"", ""project_calendar"", ""project_budgeter"", ""expense_tracker"", ""income_tracker"", ""receipts"", ""accounting_reports"", ""contacts_vendors"", ""document_manager"", ""photo_log"", ""add_project"", ""delete_project"", ""material_catalog"", ""project_progress_updates"", ""activity_log"", ""receipts_inbox""]"
058497a2-f46c-4dc6-835b-20cef610d484,fcc296b5-fe8b-4b7a-9b32-d436b75f9490,2025-08-06T14:33:42Z,2026-03-06T20:43:48Z,1125 Greystone Crest,"1125 Greystone Crest, Birmingham, AL 35242",1125 Greystone Crest,,Birmingham,AL,35242,US,33.4335408,-86.6344367,fix_and_flip,under_construction,Single Family,,5979,6,4,1999,https://tools.flipperforce.com/uploads/projects/99244/streetview-400x400.jpg,"[""team_notifications"", ""analysis_dashboard"", ""estimating_dashboard"", ""accounting_dashboard"", ""leads_dashboard"", ""active_projects_dashboard"", ""portfolio_dashboard"", ""project_notes"", ""project_comps"", ""flip_analyzer"", ""rental_analyzer"", ""repair_estimator"", ""deal_analysis_reports"", ""task_manager"", ""project_scheduler"", ""project_calendar"", ""project_budgeter"", ""expense_tracker"", ""income_tracker"", ""receipts"", ""accounting_reports"", ""contacts_vendors"", ""document_manager"", ""photo_log"", ""add_project"", ""delete_project"", ""material_catalog"", ""project_progress_updates"", ""activity_log"", ""receipts_inbox""]"
0c2689e2-f4f7-4b4c-b310-c5d7ffbaf2e9,fcc296b5-fe8b-4b7a-9b32-d436b75f9490,2026-02-05T21:09:50Z,2026-03-06T20:39:03Z,4472 Parkwood Circle,"4472 Parkwood Circle, Trussville, AL 35173",4472 Parkwood Circle,,Trussville,AL,35173,US,33.6327839,-86.5924209,fix_and_flip,planning_permitting,Garden Home,,1657,2,2,1997,https://tools.flipperforce.com/uploads/projects/110089/streetview-400x400.jpg,"[""team_notifications"", ""analysis_dashboard"", ""estimating_dashboard"", ""accounting_dashboard"", ""leads_dashboard"", ""active_projects_dashboard"", ""portfolio_dashboard"", ""project_notes"", ""project_comps"", ""flip_analyzer"", ""rental_analyzer"", ""repair_estimator"", ""deal_analysis_reports"", ""task_manager"", ""project_scheduler"", ""project_calendar"", ""project_budgeter"", ""expense_tracker"", ""income_tracker"", ""receipts"", ""accounting_reports"", ""contacts_vendors"", ""document_manager"", ""photo_log"", ""add_project"", ""delete_project"", ""material_catalog"", ""project_progress_updates"", ""activity_log"", ""receipts_inbox""]"
199b7da4-951f-4017-9592-20b744b63bb2,fcc296b5-fe8b-4b7a-9b32-d436b75f9490,2026-02-06T17:24:33Z,2026-03-06T20:26:27Z,2825 2nd Way Northwest,"2825 2nd Way Northwest, Center Point, AL 35215",2825 2nd Way Northwest,,Center Point,AL,35215,US,33.6591248,-86.6908245,fix_and_flip,planning_permitting,Single Family Residence,,1528,3,2,1966,https://tools.flipperforce.com/uploads/projects/110123/streetview-400x400.jpg,"[""team_notifications"", ""analysis_dashboard"", ""estimating_dashboard"", ""accounting_dashboard"", ""leads_dashboard"", ""active_projects_dashboard"", ""portfolio_dashboard"", ""project_notes"", ""project_comps"", ""flip_analyzer"", ""rental_analyzer"", ""repair_estimator"", ""deal_analysis_reports"", ""task_manager"", ""project_scheduler"", ""project_calendar"", ""project_budgeter"", ""expense_tracker"", ""income_tracker"", ""receipts"", ""accounting_reports"", ""contacts_vendors"", ""document_manager"", ""photo_log"", ""add_project"", ""delete_project"", ""material_catalog"", ""project_progress_updates"", ""activity_log"", ""receipts_inbox""]"
a051bc40-e672-4482-b10b-2ddee7bd5dd9,fcc296b5-fe8b-4b7a-9b32-d436b75f9490,2026-01-21T17:16:25Z,2026-03-06T16:35:44Z,1645 Barrington Lane Northeast,"1645 Barrington Lane Northeast, Center Point, AL 35215",1645 Barrington Lane Northeast,,Center Point,AL,35215,US,33.6265353,-86.6734519,fix_and_flip,under_construction,Single Family Residence,,920,3,1,1963,https://tools.flipperforce.com/uploads/projects/109141/streetview-400x400.jpg,"[""team_notifications"", ""analysis_dashboard"", ""estimating_dashboard"", ""accounting_dashboard"", ""leads_dashboard"", ""active_projects_dashboard"", ""portfolio_dashboard"", ""project_notes"", ""project_comps"", ""flip_analyzer"", ""rental_analyzer"", ""repair_estimator"", ""deal_analysis_reports"", ""task_manager"", ""project_scheduler"", ""project_calendar"", ""project_budgeter"", ""expense_tracker"", ""income_tracker"", ""receipts"", ""accounting_reports"", ""contacts_vendors"", ""document_manager"", ""photo_log"", ""add_project"", ""delete_project"", ""material_catalog"", ""project_progress_updates"", ""activity_log"", ""receipts_inbox""]"
