account,property_name,amount
Cleaning services,10 Anderson Mtn Dr,525
Dumpsters,10 Anderson Mtn Dr,1978.32
Earnest money,10 Anderson Mtn Dr,3750
Interest Payment,10 Anderson Mtn Dr,25862.5
Labor,10 Anderson Mtn Dr,52538
Materials,10 Anderson Mtn Dr,43911.57
Property Insurance,10 Anderson Mtn Dr,4626.26
Property Purchase,10 Anderson Mtn Dr,77483.58
Property taxes,10 Anderson Mtn Dr,1600.2
Staging and Interiors,10 Anderson Mtn Dr,3650
Third Party Vendors,10 Anderson Mtn Dr,36141.48
Utilities,10 Anderson Mtn Dr,5979.15
Total for Expenses,10 Anderson Mtn Dr,258046.06000000006
Net Operating Income,10 Anderson Mtn Dr,-258046.06000000006
Net Income,10 Anderson Mtn Dr,-258046.06000000006
Labor,1006 Belcher Ferry Rd,12500
Materials,1006 Belcher Ferry Rd,12662.97
Third Party Vendors,1006 Belcher Ferry Rd,12632
Utilities,1006 Belcher Ferry Rd,439.31
Total for Expenses,1006 Belcher Ferry Rd,38234.28
Net Operating Income,1006 Belcher Ferry Rd,-38234.28
Net Income,1006 Belcher Ferry Rd,-38234.28
Sale of property,1008 Mtn. Oaks Dr.,333772.55
Total for Income,1008 Mtn. Oaks Dr.,333772.55
Gross Profit,1008 Mtn. Oaks Dr.,333772.55
Cleaning services,1008 Mtn. Oaks Dr.,200
Dumpsters,1008 Mtn. Oaks Dr.,2017.47
Earnest money,1008 Mtn. Oaks Dr.,5000
Equipment,1008 Mtn. Oaks Dr.,996.2
Labor,1008 Mtn. Oaks Dr.,27796.19
Materials,1008 Mtn. Oaks Dr.,11304.02
Permits,1008 Mtn. Oaks Dr.,1632.25
Property Purchase,1008 Mtn. Oaks Dr.,156450.45
Third Party Vendors,1008 Mtn. Oaks Dr.,52851.94
Utilities,1008 Mtn. Oaks Dr.,551.37
Total for Expenses,1008 Mtn. Oaks Dr.,258799.89
Net Operating Income,1008 Mtn. Oaks Dr.,74972.65999999997
Net Income,1008 Mtn. Oaks Dr.,74972.65999999997
Sale of property,1008 Springhill Ln,901924.27
Total for Income,1008 Springhill Ln,901924.27
Gross Profit,1008 Springhill Ln,901924.27
Automobile Expense,1008 Springhill Ln,234.32
Cleaning services,1008 Springhill Ln,850
Consulting fee,1008 Springhill Ln,3302.75
Dumpsters,1008 Springhill Ln,12546.8
HOA Fees,1008 Springhill Ln,116.85
Interest Payment,1008 Springhill Ln,29894.86
Labor,1008 Springhill Ln,143940
Materials,1008 Springhill Ln,198683.05
Professional Fees,1008 Springhill Ln,2500
Property Insurance,1008 Springhill Ln,3043.5
Property Purchase,1008 Springhill Ln,100805.76
Staging and Interiors,1008 Springhill Ln,6599.43
Third Party Vendors,1008 Springhill Ln,128250.94
Utilities,1008 Springhill Ln,8628.97
Total for Expenses,1008 Springhill Ln,639397.23
Net Operating Income,1008 Springhill Ln,262527.04000000004
Net Income,1008 Springhill Ln,262527.04000000004
Sale of property,1014 Mtn. Laurel Cir.,181802.97
Total for Income,1014 Mtn. Laurel Cir.,181802.97
Gross Profit,1014 Mtn. Laurel Cir.,181802.97
Dumpsters,1014 Mtn. Laurel Cir.,2291.75
Labor,1014 Mtn. Laurel Cir.,32350
Materials,1014 Mtn. Laurel Cir.,26771.11
Payroll,1014 Mtn. Laurel Cir.,20.28
Property Insurance,1014 Mtn. Laurel Cir.,1686
Property Purchase,1014 Mtn. Laurel Cir.,181183.67
Third Party Vendors,1014 Mtn. Laurel Cir.,14913.76
Total for Expenses,1014 Mtn. Laurel Cir.,259216.57
Net Operating Income,1014 Mtn. Laurel Cir.,-77413.6
Net Income,1014 Mtn. Laurel Cir.,-77413.6
Business License,1017 Burnt Pine Ln,139.34
Cleaning services,1017 Burnt Pine Ln,260
Dumpsters,1017 Burnt Pine Ln,3069.99
Interest Payment,1017 Burnt Pine Ln,2059.77
Labor,1017 Burnt Pine Ln,28000
Materials,1017 Burnt Pine Ln,25156.73
Property Insurance,1017 Burnt Pine Ln,560.97
Property Purchase,1017 Burnt Pine Ln,28163.01
Third Party Vendors,1017 Burnt Pine Ln,15587
Utilities,1017 Burnt Pine Ln,879.09
Total for Expenses,1017 Burnt Pine Ln,103875.9
Net Operating Income,1017 Burnt Pine Ln,-103875.9
Net Income,1017 Burnt Pine Ln,-103875.9
Admin Services,1020 Legacy Cove,300
Total for Expenses,1020 Legacy Cove,300
Net Operating Income,1020 Legacy Cove,-300
Net Income,1020 Legacy Cove,-300
Sale of property,103 Kingstown Cir,125113.68
Total for Income,103 Kingstown Cir,125113.68
Gross Profit,103 Kingstown Cir,125113.68
Cleaning services,103 Kingstown Cir,290
Dumpsters,103 Kingstown Cir,1501.64
